GO_acc	term_type	Term	queryitem	querytotal	bgitem	bgtotal	pvalue	FDR	entries
GO:0046128	P	purine ribonucleoside metabolic process	11	72	197	28362	5e-12	5.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009259	P	ribonucleotide metabolic process	11	72	221	28362	1.6e-11	9.3e-10	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009119	P	ribonucleoside metabolic process	11	72	227	28362	2.2e-11	1.1e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0072521	P	purine-containing compound metabolic process	11	72	233	28362	2.8e-11	1.4e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009167	P	purine ribonucleoside monophosphate metabolic process	10	72	174	28362	3.8e-11	1.6e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0022904	P	respiratory electron transport chain	7	72	42	28362	3.9e-11	1.6e-09	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 
GO:0009126	P	purine nucleoside monophosphate metabolic process	10	72	174	28362	3.8e-11	1.6e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0019693	P	ribose phosphate metabolic process	11	72	245	28362	4.7e-11	1.8e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009116	P	nucleoside metabolic process	11	72	258	28362	8e-11	2.9e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009161	P	ribonucleoside monophosphate metabolic process	10	72	191	28362	9.1e-11	3.1e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0009123	P	nucleoside monophosphate metabolic process	10	72	196	28362	1.2e-10	3.7e-09	// AT5G08530 // AT2G33040 // AT5G08690 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0042775	P	mitochondrial ATP synthesis coupled electron transport	6	72	28	28362	2.7e-10	8.3e-09	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT3G52730 
GO:0009117	P	nucleotide metabolic process	11	72	302	28362	4e-10	1.2e-08	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0006753	P	nucleoside phosphate metabolic process	11	72	305	28362	4.4e-10	1.3e-08	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:1901657	P	glycosyl compound metabolic process	11	72	326	28362	8.7e-10	2.4e-08	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0045333	P	cellular respiration	8	72	128	28362	2.1e-09	5.4e-08	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT3G09810 
GO:0055086	P	nucleobase-containing small molecule metabolic process	11	72	370	28362	3.2e-09	7.9e-08	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0015980	P	energy derivation by oxidation of organic compounds	8	72	146	28362	5.5e-09	1.3e-07	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT3G09810 
GO:0022900	P	electron transport chain	7	72	112	28362	2.2e-08	5.2e-07	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 
GO:0019637	P	organophosphate metabolic process	11	72	524	28362	1e-07	2.3e-06	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0055114	P	oxidation-reduction process	17	72	1566	28362	3.2e-07	6.9e-06	// AT5G08530 // AT3G16480 // AT5G20080 // AT3G12260 // ATCG00490 // AT1G22450 // AT5G11770 // AT4G02580 // AT2G26080 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G47890 // AT3G52730 // AT3G17240 // AT1G51980 // AT3G09810 
GO:0006839	P	mitochondrial transport	6	72	107	28362	4.3e-07	8.9e-06	// AT3G16480 // AT5G55200 // AT5G43970 // AT1G61570 // AT3G08580 // AT5G14040 
GO:0006091	P	generation of precursor metabolites and energy	9	72	364	28362	4.3e-07	8.9e-06	// AT5G08530 // AT5G11770 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 // AT3G09810 
GO:1901135	P	carbohydrate derivative metabolic process	11	72	645	28362	7.6e-07	1.5e-05	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0009451	P	RNA modification	8	72	294	28362	9.8e-07	1.9e-05	// AT5G54580 // AT3G49240 // AT5G60960 // AT1G10270 // AT3G15000 // AT5G61030 // AT1G80270 // AT1G61870 
GO:1901564	P	organonitrogen compound metabolic process	21	72	2569	28362	1e-06	1.9e-05	// AT5G08530 // AT2G33040 // AT1G64880 // AT5G08690 // AT4G29130 // AT1G15120 // AT2G37250 // AT4G11010 // AT3G22200 // AT1G70190 // AT4G02580 // AT2G26080 // AT2G31060 // AT4G30930 // AT3G02090 // AT5G37510 // AT5G64670 // AT3G52730 // AT4G11120 // AT5G60960 // AT5G11770 
GO:0044281	P	small molecule metabolic process	16	72	1597	28362	2.1e-06	3.9e-05	// AT5G08530 // AT2G33040 // AT4G29130 // AT4G11010 // AT3G52730 // AT3G22200 // AT4G02580 // AT2G26080 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT5G08690 // AT2G37250 // AT3G09810 // AT2G43360 
GO:0046686	P	response to cadmium ion	8	72	343	28362	3e-06	5.3e-05	// AT2G45290 // AT3G19170 // AT4G37910 // ATCG00490 // AT3G22200 // AT2G45030 // AT5G63400 // AT3G17240 
GO:0044710	P	single-organism metabolic process	25	72	3970	28362	8.3e-06	0.00014	// AT3G16480 // AT5G20080 // AT3G22200 // AT3G02090 // AT3G52730 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT2G26080 // AT5G37510 // ATCG00490 // AT3G17240 // AT3G12260 // AT5G11770 // AT4G11010 // AT2G37250 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G15120 // AT5G47890 // AT1G22450 // AT4G29130 // AT2G43360 
GO:0006807	P	nitrogen compound metabolic process	32	72	6241	28362	1.9e-05	0.00033	// AT4G29130 // AT3G49240 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G64670 // AT3G52730 // AT3G22330 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT2G26080 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G11770 // AT4G11010 // AT5G61030 // AT4G30930 // AT3G22310 // AT2G37250 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G15120 // AT1G80270 // AT4G11120 // AT1G61870 
GO:0007005	P	mitochondrion organization	5	72	131	28362	2.5e-05	0.00041	// AT3G16480 // AT3G08580 // AT5G55200 // AT5G43970 // AT1G61570 
GO:0010038	P	response to metal ion	8	72	481	28362	3.3e-05	0.00053	// AT2G45290 // AT3G19170 // AT4G37910 // ATCG00490 // AT3G22200 // AT2G45030 // AT5G63400 // AT3G17240 
GO:0009987	P	cellular process	49	72	12771	28362	6.9e-05	0.0011	// AT3G16480 // AT4G37910 // AT3G49240 // AT5G53350 // AT3G22200 // AT5G43970 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT5G48030 // AT3G09810 // AT5G54580 // AT2G45290 // AT4G29130 // AT5G08690 // AT1G10270 // AT3G15000 // AT1G61570 // AT2G26080 // AT5G61030 // AT5G66510 // AT5G37510 // ATCG00490 // AT3G17240 // AT4G09730 // AT5G08530 // AT3G19170 // AT1G19520 // AT5G63510 // AT5G55200 // AT5G40660 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT3G08580 // AT3G22330 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G15120 // AT1G80270 // AT1G61870 // AT2G43360 
GO:0008152	P	metabolic process	47	72	12035	28362	8e-05	0.0012	// AT3G16480 // AT4G29130 // AT5G20080 // AT3G49240 // AT5G53350 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT3G22330 // AT3G09810 // AT5G54580 // AT2G45290 // AT5G08690 // AT1G10270 // AT3G15000 // AT2G26080 // AT5G61030 // AT5G66510 // AT5G37510 // ATCG00490 // AT3G17240 // AT5G23140 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G63510 // AT4G11010 // AT3G12260 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G51980 // AT1G15120 // AT1G80270 // AT5G47890 // AT1G22450 // AT1G61870 // AT2G43360 
GO:0034641	P	cellular nitrogen compound metabolic process	29	72	5805	28362	0.0001	0.0015	// AT4G29130 // AT3G49240 // AT5G11770 // AT2G31060 // AT3G02090 // AT5G64670 // AT3G52730 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT3G22330 // AT4G11010 // AT5G61030 // AT4G30930 // AT3G22310 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G15120 // AT1G80270 // AT4G11120 // AT1G61870 
GO:0009651	P	response to salt stress	8	72	574	28362	0.00011	0.0016	// AT4G37910 // AT5G20080 // AT5G63510 // AT3G22200 // AT1G51980 // AT3G22310 // AT1G22450 // AT5G14040 
GO:0006139	P	nucleobase-containing compound metabolic process	23	72	4178	28362	0.00018	0.0026	// AT4G29130 // AT3G49240 // AT3G22330 // AT1G80270 // AT3G52730 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G11770 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G61030 
GO:0006970	P	response to osmotic stress	8	72	636	28362	0.00022	0.0031	// AT4G37910 // AT5G20080 // AT5G63510 // AT3G22200 // AT1G51980 // AT3G22310 // AT1G22450 // AT5G14040 
GO:0009735	P	response to cytokinin	5	72	244	28362	0.00043	0.0059	// AT5G66510 // AT3G07480 // AT4G37910 // AT5G67500 // AT1G51980 
GO:0046483	P	heterocycle metabolic process	23	72	4433	28362	0.00044	0.0059	// AT4G29130 // AT3G49240 // AT3G22330 // AT1G80270 // AT3G52730 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G11770 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G61030 
GO:0010035	P	response to inorganic substance	9	72	926	28362	0.00058	0.0076	// AT2G45290 // AT3G19170 // AT4G37910 // ATCG00490 // AT3G22200 // AT2G45030 // AT5G63400 // AT3G22310 // AT3G17240 
GO:0044237	P	cellular metabolic process	39	72	9879	28362	0.00061	0.008	// AT3G16480 // AT4G29130 // AT3G49240 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT3G22330 // AT3G09810 // AT5G54580 // AT2G45290 // AT5G08690 // AT1G10270 // AT3G15000 // AT2G26080 // AT5G61030 // AT5G66510 // AT5G37510 // ATCG00490 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G63510 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G15120 // AT1G80270 // AT1G61870 // AT2G43360 
GO:0044238	P	primary metabolic process	39	72	9890	28362	0.00063	0.008	// AT3G16480 // AT4G29130 // AT3G49240 // AT5G53350 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT3G22330 // AT3G09810 // AT5G54580 // AT2G45290 // AT5G08690 // AT1G10270 // AT3G15000 // AT2G26080 // AT5G61030 // AT5G37510 // AT5G23140 // AT4G09730 // AT5G08530 // AT3G19170 // ATCG00490 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G51980 // AT1G15120 // AT1G80270 // AT1G61870 
GO:0006725	P	cellular aromatic compound metabolic process	23	72	4588	28362	0.00072	0.009	// AT4G29130 // AT3G49240 // AT3G22330 // AT1G80270 // AT3G52730 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G11770 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G61030 
GO:1901360	P	organic cyclic compound metabolic process	23	72	4700	28362	0.001	0.012	// AT4G29130 // AT3G49240 // AT3G22330 // AT1G80270 // AT3G52730 // AT5G54580 // AT5G08690 // AT1G10270 // AT3G15000 // AT5G37510 // AT4G09730 // AT5G08530 // AT3G19170 // AT5G11770 // AT4G11010 // AT1G61870 // AT3G22310 // AT2G33040 // AT5G60960 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G61030 
GO:0071704	P	organic substance metabolic process	40	72	10672	28362	0.0015	0.018	// AT3G16480 // AT4G29130 // AT3G49240 // AT5G53350 // AT3G22200 // AT2G31060 // AT3G02090 // AT5G11770 // AT5G64670 // AT3G52730 // AT3G22330 // AT3G09810 // AT5G54580 // AT2G45290 // AT5G08690 // AT1G10270 // AT3G15000 // AT2G26080 // AT5G61030 // AT5G37510 // AT5G23140 // AT4G09730 // AT5G08530 // AT3G19170 // ATCG00490 // AT4G11010 // AT4G11120 // AT4G30930 // AT3G22310 // AT2G37250 // AT2G33040 // AT1G64880 // AT5G60960 // AT1G70190 // AT4G02580 // AT1G51980 // AT1G15120 // AT1G80270 // AT1G61870 // AT2G43360 
GO:0055085	P	transmembrane transport	7	72	667	28362	0.0016	0.019	// AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT3G08580 // AT5G67500 
GO:0009628	P	response to abiotic stimulus	13	72	2022	28362	0.0016	0.019	// AT4G37910 // AT5G20080 // AT3G22200 // AT5G51440 // AT1G22450 // AT5G55200 // AT1G51980 // AT3G22310 // AT5G63510 // AT5G61030 // AT5G48030 // AT3G22330 // AT5G14040 
GO:0044699	P	single-organism process	36	72	9448	28362	0.0025	0.029	// AT3G16480 // AT5G20080 // AT3G49240 // AT4G21020 // AT3G22200 // AT5G43970 // AT3G02090 // AT5G11770 // AT3G52730 // AT5G48030 // AT3G09810 // AT5G08530 // AT2G45290 // AT5G08690 // AT1G10270 // AT1G61570 // AT2G26080 // AT5G37510 // AT5G63510 // AT3G17240 // AT3G12260 // AT1G19520 // ATCG00490 // AT5G55200 // AT4G11010 // AT4G30930 // AT2G37250 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G51980 // AT1G15120 // AT5G47890 // AT1G22450 // AT4G29130 // AT2G43360 
GO:0006796	P	phosphate-containing compound metabolic process	11	72	1735	28362	0.0043	0.048	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0050896	P	response to stimulus	26	72	6250	28362	0.0046	0.049	// AT4G37910 // AT5G20080 // AT3G07480 // AT5G55200 // AT5G48030 // ATCG00490 // AT2G45290 // AT5G66510 // AT5G63400 // AT5G37510 // AT5G63510 // AT3G17240 // AT3G19170 // AT3G22200 // AT4G11010 // AT4G29130 // AT3G22310 // AT3G22330 // AT5G67500 // AT5G51440 // AT4G02580 // AT1G51980 // AT2G45030 // AT1G22450 // AT5G61030 // AT5G14040 
GO:0016310	P	phosphorylation	9	72	1254	28362	0.0045	0.049	// AT5G08530 // AT5G11770 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT3G52730 // AT4G29130 
GO:0006793	P	phosphorus metabolic process	11	72	1751	28362	0.0046	0.049	// AT5G08530 // AT2G33040 // AT5G08690 // AT4G11010 // AT4G02580 // AT1G15120 // AT3G02090 // AT5G37510 // AT5G11770 // AT3G52730 // AT4G29130 
GO:0042221	P	response to chemical	15	72	2853	28362	0.0049	0.052	// AT2G45290 // AT3G19170 // AT4G37910 // AT5G63510 // AT3G07480 // AT3G22200 // AT1G51980 // AT2G45030 // AT5G66510 // AT5G63400 // AT4G29130 // AT3G22310 // ATCG00490 // AT3G17240 // AT5G67500 
GO:0044765	P	single-organism transport	7	72	1004	28362	0.014	0.15	// AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G29130 // AT3G08580 
GO:0009266	P	response to temperature stimulus	5	72	559	28362	0.014	0.15	// AT5G61030 // AT5G48030 // AT5G51440 // AT3G22330 // AT3G22310 
GO:1901566	P	organonitrogen compound biosynthetic process	11	72	2076	28362	0.015	0.16	// AT2G33040 // AT1G64880 // AT2G37250 // AT5G08690 // AT4G11010 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT5G60960 // AT4G11120 
GO:1902578	P	single-organism localization	7	72	1040	28362	0.017	0.17	// AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G29130 // AT3G08580 
GO:0006996	P	organelle organization	8	72	1335	28362	0.02	0.2	// AT3G16480 // AT1G19520 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G30930 // AT5G48030 // AT3G08580 
GO:0019752	P	carboxylic acid metabolic process	6	72	864	28362	0.023	0.22	// AT3G22200 // AT2G26080 // AT4G29130 // AT2G37250 // AT3G09810 // AT2G43360 
GO:0006508	P	proteolysis	6	72	907	28362	0.028	0.27	// AT3G16480 // AT3G19170 // AT5G53350 // AT1G51980 // AT3G02090 // AT5G23140 
GO:0006950	P	response to stress	15	72	3506	28362	0.029	0.27	// AT4G37910 // AT5G20080 // AT4G11010 // AT5G51440 // AT1G22450 // AT3G22200 // AT4G02580 // AT1G51980 // AT5G37510 // AT3G22310 // AT5G63510 // AT5G61030 // AT5G48030 // AT3G22330 // AT5G14040 
GO:0044763	P	single-organism cellular process	24	72	6591	28362	0.033	0.31	// AT3G22200 // AT5G43970 // AT3G02090 // AT3G52730 // AT5G48030 // AT3G09810 // AT5G08530 // AT5G08690 // AT1G10270 // AT1G61570 // AT2G26080 // AT5G37510 // AT3G17240 // AT1G19520 // AT4G11010 // AT5G11770 // AT4G30930 // AT2G37250 // AT3G08580 // AT2G33040 // AT4G02580 // AT1G15120 // AT4G29130 // AT2G43360 
GO:0043436	P	oxoacid metabolic process	6	72	973	28362	0.038	0.34	// AT3G22200 // AT2G26080 // AT4G29130 // AT2G37250 // AT3G09810 // AT2G43360 
GO:0071840	P	cellular component organization or biogenesis	12	72	2812	28362	0.051	0.46	// AT4G09730 // AT3G16480 // AT1G19520 // AT5G55200 // AT3G22200 // AT1G61570 // AT5G43970 // AT4G30930 // AT5G64670 // AT5G40660 // AT5G48030 // AT3G08580 
GO:0006082	P	organic acid metabolic process	6	72	1099	28362	0.061	0.54	// AT3G22200 // AT2G26080 // AT4G29130 // AT2G37250 // AT3G09810 // AT2G43360 
GO:0010033	P	response to organic substance	9	72	2023	28362	0.07	0.62	// AT4G37910 // AT5G63510 // AT3G07480 // AT3G22200 // AT1G51980 // AT5G66510 // ATCG00490 // AT4G29130 // AT5G67500 
GO:0006810	P	transport	10	72	2391	28362	0.08	0.69	// AT3G16480 // AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G29130 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0051234	P	establishment of localization	10	72	2406	28362	0.083	0.71	// AT3G16480 // AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G29130 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0006412	P	translation	7	72	1500	28362	0.086	0.73	// AT1G64880 // AT5G60960 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0043043	P	peptide biosynthetic process	7	72	1514	28362	0.09	0.75	// AT1G64880 // AT5G60960 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0016043	P	cellular component organization	10	72	2456	28362	0.092	0.76	// AT3G16480 // AT1G19520 // AT3G22200 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G30930 // AT5G40660 // AT5G48030 // AT3G08580 
GO:0006518	P	peptide metabolic process	7	72	1540	28362	0.096	0.77	// AT1G64880 // AT5G60960 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0043604	P	amide biosynthetic process	7	72	1536	28362	0.095	0.77	// AT1G64880 // AT5G60960 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0051179	P	localization	10	72	2517	28362	0.1	0.83	// AT3G16480 // AT2G33040 // AT5G08690 // AT5G55200 // AT5G43970 // AT1G61570 // AT4G29130 // AT3G08580 // AT5G14040 // AT5G67500 
GO:0043603	P	cellular amide metabolic process	7	72	1575	28362	0.11	0.83	// AT1G64880 // AT5G60960 // AT1G70190 // AT2G31060 // AT4G30930 // AT5G64670 // AT4G11120 
GO:0009725	P	response to hormone	7	72	1631	28362	0.12	0.93	// AT4G37910 // AT5G63510 // AT3G07480 // AT1G51980 // AT5G66510 // ATCG00490 // AT5G67500 
GO:1901362	P	organic cyclic compound biosynthetic process	6	72	3174	28362	0.83	1	// AT2G33040 // AT3G19170 // AT5G08690 // AT1G10270 // AT4G11010 // AT5G60960 
GO:0044711	P	single-organism biosynthetic process	7	72	1735	28362	0.15	1	// AT2G33040 // AT2G45290 // ATCG00490 // AT4G11010 // AT5G08690 // AT2G37250 // AT2G43360 
GO:0000003	P	reproduction	7	72	1721	28362	0.15	1	// AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT5G48030 
GO:0003006	P	developmental process involved in reproduction	6	72	1496	28362	0.18	1	// AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT5G37510 // AT5G48030 
GO:0051704	P	multi-organism process	5	72	1631	28362	0.4	1	// AT5G48030 // AT4G30930 // AT3G22200 // AT5G67500 // AT3G22310 
GO:0044702	P	single organism reproductive process	6	72	1544	28362	0.2	1	// AT3G49240 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT5G48030 
GO:0044707	P	single-multicellular organism process	10	72	2875	28362	0.19	1	// AT1G19520 // AT3G49240 // AT5G63510 // AT4G21020 // AT3G22200 // AT4G30930 // AT5G37510 // AT2G37250 // AT5G48030 // AT1G10270 
GO:0019538	P	protein metabolic process	14	72	4289	28362	0.19	1	// AT3G16480 // AT1G64880 // AT3G19170 // AT5G53350 // ATCG00490 // AT1G70190 // AT1G51980 // AT2G31060 // AT4G30930 // AT3G02090 // AT5G64670 // AT5G60960 // AT4G11120 // AT5G23140 
GO:0019438	P	aromatic compound biosynthetic process	6	72	3058	28362	0.8	1	// AT2G33040 // AT3G19170 // AT5G08690 // AT1G10270 // AT4G11010 // AT5G60960 
GO:0050789	P	regulation of biological process	7	72	5306	28362	0.99	1	// AT3G19170 // AT3G49240 // AT5G60960 // AT1G10270 // AT4G29130 // AT3G17240 // AT5G67500 
