ID,label,condition,diff,p.adj,threshhold,fraction
AT4G01660, ABC transporter 1 ,clp1p,-0.438453742,0.767077362,FALSE,Membrane Proteins
AT4G01660, ABC transporter 1 ,clp1s,-0.273373815,0.702024819,FALSE,Soluble Proteins
AT5G53650, ABC transporter A family protein ,clp1p,-0.192241576,0.865672413,FALSE,Membrane Proteins
AT5G53650, ABC transporter A family protein ,clp1s,0.587838081,0.768098351,FALSE,Soluble Proteins
AT5G58270, ABC transporter of the mitochondrion 3 ,clp1p,-0.049766101,0.836873932,FALSE,Membrane Proteins
AT5G58270, ABC transporter of the mitochondrion 3 ,clp1s,-0.442661712,0.522205826,FALSE,Soluble Proteins
AT5G48230, acetoacetyl-CoA thiolase 2 ,clp1p,-0.841733063,0.399689109,FALSE,Membrane Proteins
AT5G48230, acetoacetyl-CoA thiolase 2 ,clp1s,0.307619198,0.718095948,FALSE,Soluble Proteins
AT5G35360, acetyl Co-enzyme a carboxylase biotin carboxylase subunit ,clp1p,-0.475749505,0.737440948,FALSE,Membrane Proteins
AT5G35360, acetyl Co-enzyme a carboxylase biotin carboxylase subunit ,clp1s,-0.307229372,0.734677452,FALSE,Soluble Proteins
AT2G38040, acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit ,clp1p,-0.218820939,0.82893292,FALSE,Membrane Proteins
AT2G38040, acetyl Co-enzyme a carboxylase carboxyltransferase alpha subunit ,clp1s,-0.089737096,0.822781461,FALSE,Soluble Proteins
AT4G26970, aconitase 2 ,clp1p,-0.363944331,0.243244574,FALSE,Membrane Proteins
AT4G26970, aconitase 2 ,clp1s,-0.262667018,0.202250241,FALSE,Soluble Proteins
AT2G05710, aconitase 3 ,clp1p,-0.250454335,0.531940758,FALSE,Membrane Proteins
AT2G05710, aconitase 3 ,clp1s,-0.234599622,0.351591463,FALSE,Soluble Proteins
AT2G43090, Aconitase/3-isopropylmalate dehydratase protein ,clp1p,-0.344610175,0.663201864,FALSE,Membrane Proteins
AT2G43090, Aconitase/3-isopropylmalate dehydratase protein ,clp1s,-0.277646719,0.577038524,FALSE,Soluble Proteins
AT5G04740, ACT domain-containing protein ,clp1p,-0.454458802,0.616388006,FALSE,Membrane Proteins
AT5G04740, ACT domain-containing protein ,clp1s,0.503060423,0.334330978,FALSE,Soluble Proteins
AT3G16910, acyl-activating enzyme 7 ,clp1p,-0.903266003,0.154922015,FALSE,Membrane Proteins
AT3G16910, acyl-activating enzyme 7 ,clp1s,-0.115417693,0.827751189,FALSE,Soluble Proteins
AT3G06810, acyl-CoA dehydrogenase-like protein ,clp1p,-0.472304549,0.514587171,FALSE,Membrane Proteins
AT3G06810, acyl-CoA dehydrogenase-like protein ,clp1s,0.002356175,0.872625752,FALSE,Soluble Proteins
AT4G16760, acyl-CoA oxidase 1 ,clp1p,-0.348847862,0.560926511,FALSE,Membrane Proteins
AT4G16760, acyl-CoA oxidase 1 ,clp1s,-0.142149615,0.792034463,FALSE,Soluble Proteins
AT5G65110, acyl-CoA oxidase 2 ,clp1p,-0.35960994,0.824050022,FALSE,Membrane Proteins
AT5G65110, acyl-CoA oxidase 2 ,clp1s,0.47524492,0.711075659,FALSE,Soluble Proteins
AT1G06290, acyl-CoA oxidase 3 ,clp1p,-0.026200124,0.753389097,FALSE,Membrane Proteins
AT1G06290, acyl-CoA oxidase 3 ,clp1s,-0.044461862,0.795893063,FALSE,Soluble Proteins
AT3G51840, acyl-CoA oxidase 4 ,clp1p,-0.194331659,0.693861319,FALSE,Membrane Proteins
AT3G51840, acyl-CoA oxidase 4 ,clp1s,0.067883009,0.867447758,FALSE,Soluble Proteins
AT2G35690, acyl-CoA oxidase 5 ,clp1p,-0.660025076,0.473650299,FALSE,Membrane Proteins
AT2G35690, acyl-CoA oxidase 5 ,clp1s,-0.120604055,0.83886054,FALSE,Soluble Proteins
AT1G20560, acyl activating enzyme 1 ,clp1p,0.007181171,0.841061324,FALSE,Membrane Proteins
AT1G20560, acyl activating enzyme 1 ,clp1s,-0.018606778,0.854645645,FALSE,Soluble Proteins
AT4G01100, adenine nucleotide transporter 1 ,clp1p,-0.566082975,0.574160106,FALSE,Membrane Proteins
AT4G01100, adenine nucleotide transporter 1 ,clp1s,-0.156976147,0.815572585,FALSE,Soluble Proteins
AT2G37250,ADENOSINE KINASE,clp1p,2.240627423,1.67E-04,TRUE,Membrane Proteins
AT2G37250,ADENOSINE KINASE,clp1s,3.372608536,4.03E-14,TRUE,Soluble Proteins
AT5G63400, adenylate kinase 1 ,clp1p,-0.64087772,0.104538447,FALSE,Membrane Proteins
AT5G63400, adenylate kinase 1 ,clp1s,-0.029494983,0.857808048,FALSE,Soluble Proteins
AT5G50370, Adenylate kinase family protein ,clp1p,-0.945522349,0.44515411,FALSE,Membrane Proteins
AT5G50370, Adenylate kinase family protein ,clp1s,0.027190038,0.853561918,FALSE,Soluble Proteins
AT4G15640, adenylyl cyclase ,clp1p,2.155297501,0.1823143,FALSE,Membrane Proteins
AT4G15640, adenylyl cyclase ,clp1s,1.407591249,0.340125971,FALSE,Soluble Proteins
AT3G08580, ADP/ATP carrier 1 ,clp1p,-1.671555511,0.279252645,FALSE,Membrane Proteins
AT3G08580, ADP/ATP carrier 1 ,clp1s,-0.319280107,0.81372585,FALSE,Soluble Proteins
AT5G13490, ADP/ATP carrier 2 ,clp1p,-1.533544631,0.6967272,FALSE,Membrane Proteins
AT5G13490, ADP/ATP carrier 2 ,clp1s,-0.203641555,0.863166091,FALSE,Soluble Proteins
AT4G30490, AFG1-like ATPase family protein ,clp1p,-0.096975557,0.832234089,FALSE,Membrane Proteins
AT4G30490, AFG1-like ATPase family protein ,clp1s,-0.294802454,0.770551997,FALSE,Soluble Proteins
AT1G70580, alanine-2-oxoglutarate aminotransferase 2 ,clp1p,-0.019596005,0.876926253,FALSE,Membrane Proteins
AT1G70580, alanine-2-oxoglutarate aminotransferase 2 ,clp1s,0.400924252,0.535374407,FALSE,Soluble Proteins
AT2G45060, alanine-tRNA ligase ,clp1p,-0.677466664,0.456354621,FALSE,Membrane Proteins
AT2G45060, alanine-tRNA ligase ,clp1s,-0.118963702,0.832807714,FALSE,Soluble Proteins
AT1G17290, alanine aminotransferas ,clp1p,-0.21772747,0.572761648,FALSE,Membrane Proteins
AT1G17290, alanine aminotransferas ,clp1s,-0.199819551,0.512335697,FALSE,Soluble Proteins
AT1G72330, alanine aminotransferase 2 ,clp1p,-0.277078284,0.810088751,FALSE,Membrane Proteins
AT1G72330, alanine aminotransferase 2 ,clp1s,0.019889203,0.875534161,FALSE,Soluble Proteins
AT2G13360, alanine:glyoxylate aminotransferase ,clp1p,-0.228771123,0.795339456,FALSE,Membrane Proteins
AT2G13360, alanine:glyoxylate aminotransferase ,clp1s,-0.227355368,0.618015648,FALSE,Soluble Proteins
AT4G39660, alanine:glyoxylate aminotransferase 2 ,clp1p,-0.41990221,0.725053405,FALSE,Membrane Proteins
AT4G39660, alanine:glyoxylate aminotransferase 2 ,clp1s,-0.772229738,0.302193242,FALSE,Soluble Proteins
AT1G77120, alcohol dehydrogenase 1 ,clp1p,-0.400567036,0.505494632,FALSE,Membrane Proteins
AT1G77120, alcohol dehydrogenase 1 ,clp1s,-0.214503681,0.688939461,FALSE,Soluble Proteins
AT3G48170, aldehyde dehydrogenase 10A9 ,clp1p,-0.306598109,0.645226303,FALSE,Membrane Proteins
AT3G48170, aldehyde dehydrogenase 10A9 ,clp1s,-0.092494902,0.832080417,FALSE,Soluble Proteins
AT5G62530, aldehyde dehydrogenase 12A1 ,clp1p,-0.079288837,0.789172341,FALSE,Membrane Proteins
AT5G62530, aldehyde dehydrogenase 12A1 ,clp1s,-0.338005107,0.087544421,FALSE,Soluble Proteins
AT3G48000, aldehyde dehydrogenase 2B4 ,clp1p,-0.061107644,0.830900168,FALSE,Membrane Proteins
AT3G48000, aldehyde dehydrogenase 2B4 ,clp1s,-0.368464393,0.048980955,FALSE,Soluble Proteins
AT1G23800, aldehyde dehydrogenase 2B7 ,clp1p,-0.265230101,0.81595884,FALSE,Membrane Proteins
AT1G23800, aldehyde dehydrogenase 2B7 ,clp1s,-0.38490354,0.582145378,FALSE,Soluble Proteins
AT1G79440, aldehyde dehydrogenase 5F1 ,clp1p,-0.323884805,0.641969917,FALSE,Membrane Proteins
AT1G79440, aldehyde dehydrogenase 5F1 ,clp1s,-0.429665655,0.257171113,FALSE,Soluble Proteins
AT2G14170, aldehyde dehydrogenase 6B2 ,clp1p,-0.093293639,0.818011704,FALSE,Membrane Proteins
AT2G14170, aldehyde dehydrogenase 6B2 ,clp1s,-0.037020559,0.852874546,FALSE,Soluble Proteins
AT5G13420, Aldolase-type TIM barrel family protein ,clp1p,-0.20423728,0.853791707,FALSE,Membrane Proteins
AT5G13420, Aldolase-type TIM barrel family protein ,clp1s,0.868382441,0.395405666,FALSE,Soluble Proteins
AT4G18360, Aldolase-type TIM barrel family protein ,clp1p,0.202705144,0.842934568,FALSE,Membrane Proteins
AT4G18360, Aldolase-type TIM barrel family protein ,clp1s,0.215538604,0.615639716,FALSE,Soluble Proteins
AT3G14415, Aldolase-type TIM barrel family protein ,clp1p,-0.197365092,0.837711758,FALSE,Membrane Proteins
AT3G14415, Aldolase-type TIM barrel family protein ,clp1s,0.174050609,0.801462672,FALSE,Soluble Proteins
AT3G14420, Aldolase-type TIM barrel family protein ,clp1p,-0.402337638,0.677569069,FALSE,Membrane Proteins
AT3G14420, Aldolase-type TIM barrel family protein ,clp1s,0.149777408,0.799424603,FALSE,Soluble Proteins
AT2G01140, Aldolase superfamily protein ,clp1p,-0.737625149,0.661575044,FALSE,Membrane Proteins
AT2G01140, Aldolase superfamily protein ,clp1s,0.66803934,0.490383053,FALSE,Soluble Proteins
AT2G26800, Aldolase superfamily protein ,clp1p,0.837679703,0.437667863,FALSE,Membrane Proteins
AT2G26800, Aldolase superfamily protein ,clp1s,-0.723879637,0.233429711,FALSE,Soluble Proteins
AT3G52930, Aldolase superfamily protein ,clp1p,-1.404749222,0.197324522,FALSE,Membrane Proteins
AT3G52930, Aldolase superfamily protein ,clp1s,-0.996361897,0.193792956,FALSE,Soluble Proteins
AT1G06460, alpha-crystallin domain 32.1 ,clp1p,-0.116222321,0.858410471,FALSE,Membrane Proteins
AT1G06460, alpha-crystallin domain 32.1 ,clp1s,-0.628125801,0.484752059,FALSE,Soluble Proteins
AT1G16700, Alpha-helical ferredoxin ,clp1p,-0.399652172,0.832485312,FALSE,Membrane Proteins
AT1G16700, Alpha-helical ferredoxin ,clp1s,-0.462125118,0.753423496,FALSE,Soluble Proteins
AT3G22370, alternative oxidase 1A ,clp1p,-0.530997212,0.771890814,FALSE,Membrane Proteins
AT3G22370, alternative oxidase 1A ,clp1s,0.674490554,0.545068972,FALSE,Soluble Proteins
AT3G25660, Amidase family protein ,clp1p,0.632091356,0.465937731,FALSE,Membrane Proteins
AT3G25660, Amidase family protein ,clp1s,0.281720948,0.603389884,FALSE,Soluble Proteins
AT4G05160, AMP-dependent synthetase and ligase family protein ,clp1p,-0.438564426,0.507113141,FALSE,Membrane Proteins
AT4G05160, AMP-dependent synthetase and ligase family protein ,clp1s,0.060525436,0.858435106,FALSE,Soluble Proteins
AT5G63380, AMP-dependent synthetase and ligase family protein ,clp1p,0.16611747,0.86101343,FALSE,Membrane Proteins
AT5G63380, AMP-dependent synthetase and ligase family protein ,clp1s,-0.052455063,0.776382899,FALSE,Soluble Proteins
AT2G38280, AMP deaminase,clp1p,-0.167297955,0.789493478,FALSE,Membrane Proteins
AT2G38280, AMP deaminase,clp1s,0.031856375,0.866602267,FALSE,Soluble Proteins
AT1G35720, annexin 1 ,clp1p,-0.365414684,0.749312877,FALSE,Membrane Proteins
AT1G35720, annexin 1 ,clp1s,-0.205905662,0.815203058,FALSE,Soluble Proteins
AT4G08870, Arginase/deacetylase superfamily protein ,clp1p,0.60602787,0.75645307,FALSE,Membrane Proteins
AT4G08870, Arginase/deacetylase superfamily protein ,clp1s,-0.043831824,0.872541127,FALSE,Soluble Proteins
AT4G24830, arginosuccinate synthase family ,clp1p,0.651243213,0.686988897,FALSE,Membrane Proteins
AT4G24830, arginosuccinate synthase family ,clp1s,-0.159859482,0.845151434,FALSE,Soluble Proteins
AT3G62530,ARM repeat,clp1p,0.360190757,0.342905175,FALSE,Membrane Proteins
AT3G62530,ARM repeat,clp1s,0.527326333,0.004542183,TRUE,Soluble Proteins
AT1G49670, ARP protein (REF) ,clp1p,-0.588704817,0.562432859,FALSE,Membrane Proteins
AT1G49670, ARP protein (REF) ,clp1s,-0.159182944,0.838822689,FALSE,Soluble Proteins
AT4G35000, ascorbate peroxidase 3 ,clp1p,-1.039640161,0.699807304,FALSE,Membrane Proteins
AT4G35000, ascorbate peroxidase 3 ,clp1s,0.199380081,0.853724609,FALSE,Soluble Proteins
AT2G30970, aspartate aminotransferase 1 ,clp1p,-0.013982413,0.688059977,FALSE,Membrane Proteins
AT2G30970, aspartate aminotransferase 1 ,clp1s,-0.145641021,0.73897889,FALSE,Soluble Proteins
AT5G19550, aspartate aminotransferase 2 ,clp1p,-0.068900253,0.843089002,FALSE,Membrane Proteins
AT5G19550, aspartate aminotransferase 2 ,clp1s,-0.045008533,0.867271634,FALSE,Soluble Proteins
AT5G11520, aspartate aminotransferase 3 ,clp1p,-0.121682721,0.798452982,FALSE,Membrane Proteins
AT5G11520, aspartate aminotransferase 3 ,clp1s,0.086059447,0.844720728,FALSE,Soluble Proteins
AT4G31990, aspartate aminotransferase 5 ,clp1p,-0.335814879,0.824454691,FALSE,Membrane Proteins
AT4G31990, aspartate aminotransferase 5 ,clp1s,-0.365217918,0.766812834,FALSE,Soluble Proteins
AT4G13360, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1p,-0.361964628,0.80534388,FALSE,Membrane Proteins
AT4G13360, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1s,0.326967741,0.765630911,FALSE,Soluble Proteins
AT4G16800, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1p,-0.32515457,0.739932778,FALSE,Membrane Proteins
AT4G16800, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1s,0.063912902,0.836694453,FALSE,Soluble Proteins
AT4G31810, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1p,1.047687026,0.617238731,FALSE,Membrane Proteins
AT4G31810, ATP-dependent caseinolytic (Clp) protease/crotonase family protein ,clp1s,1.500059428,0.167246661,FALSE,Soluble Proteins
AT1G33360, ATP-dependent Clp protease ,clp1p,-0.642045686,0.476021012,FALSE,Membrane Proteins
AT1G33360, ATP-dependent Clp protease ,clp1s,-0.409698204,0.518105429,FALSE,Soluble Proteins
AT4G30010, ATP-dependent RNA helicase ,clp1p,-0.343333318,0.749429419,FALSE,Membrane Proteins
AT4G30010, ATP-dependent RNA helicase ,clp1s,-0.160055088,0.80715515,FALSE,Soluble Proteins
AT1G09620, ATP binding/leucine-tRNA ligases/aminoacyl-tRNA ligase ,clp1p,-0.603229705,0.697294756,FALSE,Membrane Proteins
AT1G09620, ATP binding/leucine-tRNA ligases/aminoacyl-tRNA ligase ,clp1s,-0.263070324,0.695231365,FALSE,Soluble Proteins
AT2G20420, ATP citrate lyase (ACL) family protein ,clp1p,-0.313936828,0.345297558,FALSE,Membrane Proteins
AT2G20420, ATP citrate lyase (ACL) family protein ,clp1s,-0.239546372,0.308062307,FALSE,Soluble Proteins
AT5G08690,ATP synthase beta-subunit,clp1p,1.473271824,2.80E-05,TRUE,Membrane Proteins
AT5G08690,ATP synthase beta-subunit,clp1s,0.386927763,0.278183937,FALSE,Soluble Proteins
AT3G52300, ATP synthase D chain ,clp1p,0.117362204,0.855152239,FALSE,Membrane Proteins
AT3G52300, ATP synthase D chain ,clp1s,-0.089827969,0.849139221,FALSE,Soluble Proteins
AT1G51650, ATP synthase epsilon chain ,clp1p,-0.071603746,0.690846215,FALSE,Membrane Proteins
AT1G51650, ATP synthase epsilon chain ,clp1s,0.638240726,0.749828491,FALSE,Soluble Proteins
ATMG01190, ATP synthase subunit 1 ,clp1p,-0.900338888,0.734505257,FALSE,Membrane Proteins
ATMG01190, ATP synthase subunit 1 ,clp1s,0.107448298,0.86548568,FALSE,Soluble Proteins
ATCG00120, ATP synthase subunit alpha ,clp1p,-1.137192574,0.385294532,FALSE,Membrane Proteins
ATCG00120, ATP synthase subunit alpha ,clp1s,-0.66485304,0.46761419,FALSE,Soluble Proteins
ATCG00480, ATP synthase subunit beta ,clp1p,-1.24854949,0.610397012,FALSE,Membrane Proteins
ATCG00480, ATP synthase subunit beta ,clp1s,-0.240182295,0.847730462,FALSE,Soluble Proteins
AT5G40660, ATP12 protein-like protein ,clp1p,1.597059216,0.062643267,FALSE,Membrane Proteins
AT5G40660, ATP12 protein-like protein ,clp1s,-0.197545125,0.81463408,FALSE,Soluble Proteins
ATCG00130, ATPase,clp1p,0.315192251,0.80876673,FALSE,Membrane Proteins
ATCG00130, ATPase,clp1s,-0.17063937,0.833007293,FALSE,Soluble Proteins
AT5G47030, ATPase,clp1p,1.403863078,0.705045191,FALSE,Membrane Proteins
AT5G47030, ATPase,clp1s,0.698083009,0.775592773,FALSE,Soluble Proteins
AT3G29970, B12D protein ,clp1p,-0.074154583,0.871906982,FALSE,Membrane Proteins
AT3G29970, B12D protein ,clp1s,1.102725625,0.603978567,FALSE,Soluble Proteins
AT3G48140, B12D protein ,clp1p,0.373704945,0.700465046,FALSE,Membrane Proteins
AT3G48140, B12D protein ,clp1s,-0.402912718,0.528188785,FALSE,Soluble Proteins
AT5G65940, beta-hydroxyisobutyryl-CoA hydrolase 1 ,clp1p,0.130272144,0.764344748,FALSE,Membrane Proteins
AT5G65940, beta-hydroxyisobutyryl-CoA hydrolase 1 ,clp1s,0.335682264,0.699645842,FALSE,Soluble Proteins
AT5G17560, BolA-like family protein ,clp1p,0.048560599,0.844241609,FALSE,Membrane Proteins
AT5G17560, BolA-like family protein ,clp1s,0.092425009,0.779493447,FALSE,Soluble Proteins
AT5G23060, calcium sensing receptor ,clp1p,0.325446814,0.728169286,FALSE,Membrane Proteins
AT5G23060, calcium sensing receptor ,clp1s,-0.137305172,0.700054873,FALSE,Soluble Proteins
AT5G61790, calnexin 1 ,clp1p,0.218618229,0.839509731,FALSE,Membrane Proteins
AT5G61790, calnexin 1 ,clp1s,0.603515112,0.540221882,FALSE,Soluble Proteins
AT1G29900, carbamoyl phosphate synthetase B ,clp1p,-0.383944435,0.819873743,FALSE,Membrane Proteins
AT1G29900, carbamoyl phosphate synthetase B ,clp1s,-0.696816412,0.560140984,FALSE,Soluble Proteins
AT1G20630, catalase 1 ,clp1p,-1.505588518,0.509353587,FALSE,Membrane Proteins
AT1G20630, catalase 1 ,clp1s,0.118542273,0.865963669,FALSE,Soluble Proteins
AT4G35090, catalase 2 ,clp1p,-0.042100188,0.635712973,FALSE,Membrane Proteins
AT4G35090, catalase 2 ,clp1s,0.391679694,0.247897916,FALSE,Soluble Proteins
AT1G20620, catalase 3 ,clp1p,-0.309737455,0.70877646,FALSE,Membrane Proteins
AT1G20620, catalase 3 ,clp1s,0.010550771,0.831583317,FALSE,Soluble Proteins
AT3G52950, CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein ,clp1p,0.122643302,0.865928685,FALSE,Membrane Proteins
AT3G52950, CBS / octicosapeptide/Phox/Bemp1 (PB1) domains-containing protein ,clp1s,-0.537897622,0.550126153,FALSE,Soluble Proteins
AT1G79390, centrosomal protein ,clp1p,-0.796587081,0.442638335,FALSE,Membrane Proteins
AT1G79390, centrosomal protein ,clp1s,0.012916716,0.802912064,FALSE,Soluble Proteins
AT2G35795, Chaperone DnaJ-domain superfamily protein ,clp1p,-0.148833841,0.840989085,FALSE,Membrane Proteins
AT2G35795, Chaperone DnaJ-domain superfamily protein ,clp1s,0.092520757,0.845109036,FALSE,Soluble Proteins
AT2G04030, Chaperone protein htpG family protein ,clp1p,-0.413499196,0.767548934,FALSE,Membrane Proteins
AT2G04030, Chaperone protein htpG family protein ,clp1s,-0.023247023,0.833879337,FALSE,Soluble Proteins
AT4G24190, Chaperone protein htpG family protein ,clp1p,-0.326436482,0.765932206,FALSE,Membrane Proteins
AT4G24190, Chaperone protein htpG family protein ,clp1s,-0.155539009,0.787839859,FALSE,Soluble Proteins
AT2G28000, chaperonin-60alpha ,clp1p,-0.609367583,0.729291739,FALSE,Membrane Proteins
AT2G28000, chaperonin-60alpha ,clp1s,0.489248091,0.604731606,FALSE,Soluble Proteins
AT1G14980, chaperonin 10 ,clp1p,-0.172330795,0.684598641,FALSE,Membrane Proteins
AT1G14980, chaperonin 10 ,clp1s,-0.00407874,0.839837584,FALSE,Soluble Proteins
AT5G20720, chaperonin 20 ,clp1p,-0.505192979,0.794509299,FALSE,Membrane Proteins
AT5G20720, chaperonin 20 ,clp1s,0.689123485,0.523437957,FALSE,Soluble Proteins
AT1G55490, chaperonin 60 beta ,clp1p,-0.594063913,0.642642533,FALSE,Membrane Proteins
AT1G55490, chaperonin 60 beta ,clp1s,-0.41209107,0.580990558,FALSE,Soluble Proteins
AT5G64400, CHCH domain protein ,clp1p,-0.777012915,0.476507705,FALSE,Membrane Proteins
AT5G64400, CHCH domain protein ,clp1s,-0.667986387,0.392003878,FALSE,Soluble Proteins
AT1G44575, Chlorophyll A-B binding family protein ,clp1p,-0.508310968,0.8205357,FALSE,Membrane Proteins
AT1G44575, Chlorophyll A-B binding family protein ,clp1s,-1.031352698,0.599948539,FALSE,Soluble Proteins
AT4G24280, chloroplast heat shock protein 70-1 ,clp1p,-0.273012869,0.774427364,FALSE,Membrane Proteins
AT4G24280, chloroplast heat shock protein 70-1 ,clp1s,0.081265704,0.819834946,FALSE,Soluble Proteins
AT1G48850, chorismate synthase,clp1p,-0.188822541,0.837979918,FALSE,Membrane Proteins
AT1G48850, chorismate synthase,clp1s,0.052848789,0.812661067,FALSE,Soluble Proteins
AT4G26410, chromosome-associated kinesin ,clp1p,0.092806495,0.859468628,FALSE,Membrane Proteins
AT4G26410, chromosome-associated kinesin ,clp1s,-0.145189274,0.823922003,FALSE,Soluble Proteins
AT2G30490, cinnamate-4-hydroxylase ,clp1p,-0.511268899,0.701190926,FALSE,Membrane Proteins
AT2G30490, cinnamate-4-hydroxylase ,clp1s,-0.261071672,0.788740144,FALSE,Soluble Proteins
AT3G58750, citrate synthase 2 ,clp1p,0.139480356,0.835566341,FALSE,Membrane Proteins
AT3G58750, citrate synthase 2 ,clp1s,0.149572475,0.860940245,FALSE,Soluble Proteins
AT2G42790, citrate synthase 3 ,clp1p,-0.29639429,0.671555134,FALSE,Membrane Proteins
AT2G42790, citrate synthase 3 ,clp1s,0.470975621,0.399934131,FALSE,Soluble Proteins
AT2G44350, Citrate synthase family protein ,clp1p,-0.358177268,0.265666125,FALSE,Membrane Proteins
AT2G44350, Citrate synthase family protein ,clp1s,-0.310792793,0.19814923,FALSE,Soluble Proteins
AT5G52520, Class II aaRS and biotin synthetases superfamily protein ,clp1p,0.213904663,0.754617103,FALSE,Membrane Proteins
AT5G52520, Class II aaRS and biotin synthetases superfamily protein ,clp1s,-0.276659876,0.722935264,FALSE,Soluble Proteins
AT5G53350,CLPX,clp1p,0.835321494,0.002157878,TRUE,Membrane Proteins
AT5G53350,CLPX,clp1s,0.802290165,4.50E-08,TRUE,Soluble Proteins
AT5G50920, CLPC homologue 1 ,clp1p,-0.48569369,0.805482026,FALSE,Membrane Proteins
AT5G50920, CLPC homologue 1 ,clp1s,-0.523438452,0.692177051,FALSE,Soluble Proteins
AT4G26780, Co-chaperone GrpE family protein ,clp1p,0.127135991,0.77670448,FALSE,Membrane Proteins
AT4G26780, Co-chaperone GrpE family protein ,clp1s,0.041892646,0.844614552,FALSE,Soluble Proteins
AT5G55200,MITOCHONDRIAL GRPE 1,clp1p,0.702727245,0.066794516,FALSE,Membrane Proteins
AT5G55200,MITOCHONDRIAL GRPE 1,clp1s,0.565792831,0.020131507,TRUE,Soluble Proteins
AT5G17920, Cobalamin-independent synthase family protein ,clp1p,-0.634670159,0.785035628,FALSE,Membrane Proteins
AT5G17920, Cobalamin-independent synthase family protein ,clp1s,-0.203477207,0.849111878,FALSE,Soluble Proteins
AT1G71310, cobalt ion binding protein ,clp1p,-0.013908482,0.778039803,FALSE,Membrane Proteins
AT1G71310, cobalt ion binding protein ,clp1s,-0.306983217,0.592729845,FALSE,Soluble Proteins
AT3G15000,RIP1,clp1p,0.674873504,0.073300305,FALSE,Membrane Proteins
AT3G15000,RIP1,clp1s,0.976690167,4.47E-05,TRUE,Soluble Proteins
AT2G30920, coenzyme Q 3 ,clp1p,-0.94607679,0.432118968,FALSE,Membrane Proteins
